composition energy_pa bandgap
Ne -0.02918079 11.91
La -4.8042034 0.0
Pr -4.64872022 0.0
Kr -0.0013236 7.487
V -8.68248505 0.0
Rb -0.96235293 0.0
Ta -11.61027199 0.0
V -8.94097896 0.0
Ne -0.02931791 11.657
Al -3.74495068 0.0
Ne 0.17730223 13.5
K -1.09638997 0.0
Rh -7.26940476 0.0
Er -4.4219364 0.0
Zr -8.46754148 0.0
Ho -4.43392224 0.0
Lu -4.38523756 0.0
Tb -4.48449416 0.0
Ne 0.27982651 14.115
P -5.27258022 0.0
Ru -9.09123707 0.0
Ir -8.8549203 0.0
Gd -4.5089873 0.0
Fe -8.30754271 0.0
Ni -5.47582222 0.0
Fe -8.14644595 0.0
Tc -10.29221851 0.0
Re -12.36077082 0.0
Pt -6.05575959 0.0
YbSe -4.60313348 2.083
SiP -5.185152395 0.0
SmZn -3.31784556 0.0
SiC -6.78666458 0.0
U -11.01752321 0.0
Zr -8.50748541 0.0
Os -11.08948256 0.0
ZnNi -3.67839607 0.0
TiAg -5.1903814 0.0
ZnNi -3.666066375 0.0
YbTe -4.00715868 1.62
TmAg -3.99917305 0.0
UTe -7.656443225 0.0
YAg -4.986190335 0.0
LiBi -3.35519377 0.0
TcB -8.37469892 0.0
LiTl -2.36121561 0.0
YbAg -2.59654032 0.0
PrTl -3.966162695 0.0
LuMg -3.07749754 0.0
MnAu -6.160574395 0.0
YbZn -1.72694001 0.0
SiC -7.52921365 1.586
Yb -1.50725148 0.0
Eu -1.8875732 0.0
Sb -4.07425534 0.0
Yb -1.51277545 0.0
Sr -1.67755883 0.0
Gd -4.64377924 0.0
TaN -11.23999017 0.0
ErIr -7.59636396 0.0
PrZn -3.33150926 0.0
Tm -4.473977795 0.0
CaSe -4.77312351 2.167
CaTe -4.22048609 1.644
Ti -7.6613055 0.0
Sb -3.8022012 0.0
Ne 0.29075738 14.15
Se -3.31272966 0.0
Si -4.88801073 0.0
CaPb -3.371442375 0.0
HPd -4.34494654 0.0
TiRh -8.251520295 0.0
VRh -8.46523716 0.0
CuAu -3.544152425 0.0
NaBi -2.98555086 0.0
ErMg -3.11949243 0.0
SiRh -6.88694516 0.0
Si -5.11702963 0.0
Li -1.8955817 0.0
P -5.2722458 0.0
P -5.2722458 0.0
Na -1.29982533 0.0
Fe -8.3078978 0.0
Np -12.49654956 0.0
Mg -1.51368575 0.0
Li -1.89323428 0.0
MnAu -6.159798425 0.0
VFe -8.74867609 0.0
TaRu -10.810254365 0.0
Ge -4.2801474 0.0
Sb -3.88996413 0.0
Th -7.26786456 0.0
Tm -4.44324386 0.0
H -2.13954997 0.0
H -2.12947206 0.0
TcB -8.801878705 0.0
HoAs -6.14243044 0.0
TcB -7.80049421 0.0
HoSe -5.750890295 0.0
TlSn -3.11349944 0.0
LuPd -5.82228231 0.0
YbRh -4.92758853 0.0
YbRu -5.05458834 0.0
LuRh -6.910125115 0.0
AgI -2.06945208 0.182
LuRu -7.31382186 0.0
SrTl -2.44912465 0.0
Gd -4.6380128 0.0
LuZn -3.25033056 0.0
NdMg -3.26757452 0.0
Ho -4.573844555 0.0
TiFe -8.452170305 0.0
ScN -8.2125949 0.0
NaH -2.5360216 4.09
Tb -4.6170919 0.0
PrZn -3.33044142 0.0
YbSn -3.433755565 0.0
CoPt -6.67073843 0.0
NbRh -9.092179685 0.0
VOs -10.30980754 0.0
Er -4.56324084 0.0
ScP -6.80001395 0.0
LiBi -3.355369205 0.0
CdAu -2.26352688 0.0
TaTc -11.607681845 0.0
TiAl -6.15789394 0.0
Lu -4.522793145 0.0
HfOs -11.29879052 0.0
TbTl -3.84681636 0.0
NaBi -2.98567921 0.0
TiHg -4.035695135 0.0
ErPd -5.80138533 0.0
MgPd -4.104092175 0.0
CsAu -2.381107685 1.04
RbAu -2.39184748 0.392
PrMg -3.27804553 0.0
TbZn -3.2892827 0.0
TbZn -3.28889689 0.0
HfRh -9.4746465 0.0
DyAu -4.79871753 0.0
LuCd -3.017256955 0.0
CaCd -1.81276745 0.0
Tb -4.61579201 0.0
FePd -6.808098335 0.0
TiTc -9.55627047 0.0
HfRu -10.391156205 0.0
VTc -10.016259215 0.0
TbSb -5.524906495 0.0
MgRh -4.882004615 0.0
CeMg -3.28262339 0.0
PmMg -3.25501873 0.0
YCu -5.334138435 0.0
ErAu -4.800133905 0.0
HfTc -10.64032462 0.0
TiOs -10.197990125 0.0
EuMg -1.814140195 0.0
GdMg -3.19151971 0.0
SmMg -3.233009815 0.0
ZrOs -10.41427843 0.0
ZnRh -4.656899075 0.0
ErMg -3.119499305 0.0
U -10.91685907 0.0
Ne 0.30046398 14.181
Sn -3.9242732 0.0
GeC -6.48677729 1.772
HoSb -5.46381421 0.0
ZnO -3.826878375 0.0
ScC -7.38355244 0.0
ScCu -5.29863254 0.0
ErRh -6.85204988 0.0
HoHg -2.91919496 0.0
YC -7.27242369 0.0
Ne 0.27488899 14.099
Ne 0.28461391 14.132
Se -3.30962889 0.0
Ho -4.55730966 0.0
SnP -4.705429225 0.0
HoTe -5.103163275 0.0
HgSe -2.103052535 0.176
CuO -4.06427747 0.0
LaCd -3.251004 0.0
CuN -5.024327095 0.0
H -2.13953099 0.0
HgS -2.347636825 0.179
SnC -5.800446045 0.95
ScP -7.362540005 0.0
CdPd -3.457525365 0.0
AgCl -2.76649674 1.115
Sb -4.117563025 0.0
DyAl -4.569129195 0.0
PbS -4.201170035 0.0
HgPd -2.910581495 0.0
NdCd -3.15834544 0.0
GdAs -6.19590001 0.0
SnC -5.315989465 0.0
ZnTe -2.673391845 1.453
NiC -6.28516306 0.0
HfPt -8.988546335 0.0
TbAs -6.181435825 0.0
Ga -3.008097475 0.0
TbTe -5.195308645 0.0
HgPt -3.128821175 0.0
ZrHg -4.59322187 0.0
TiO -8.632986165 0.0
PrTe -5.306635455 0.0
GdSb -5.551522555 0.0
TcB -8.526978135 0.0
NiHg -2.728647095 0.0
NbS -8.003126215 0.0
PrSb -5.64371091 0.0
NiN -6.49559295 0.0
MnSe -6.60330737 0.0
GdAu -4.800934755 0.0
TbMg -3.17208882 0.0
TmTl -3.704937015 0.0
CaHg -1.70217278 0.0
LaHg -3.11384425 0.0
Ne 0.27804506 14.108
Ne 0.28867631 14.146
Ne 0.30610899 14.198
DySb -5.49459741 0.0
MnSe -6.61243473 0.0
LiHg -1.47538439 0.0
MgTl -1.98518675 0.0
YTl -4.78487952 0.0
SnP -4.710320395 0.0
Li -1.87228133 0.0
I -1.40901648 0.0
Ne 0.27166765 14.087
Ne 0.30240083 14.187
DyAs -6.16232387 0.0
TmMg -3.065532745 0.0
SrS -5.055975015 2.587
SrSe -4.65453638 2.414
CaS -5.22186984 2.4
He 0.02630761 18.39
