composition,delta_e
As1Y1,-1.555731815
Ga1P1,-0.534168956979969
Ga2Mg1S4,-1.06850412146001
Cd4K1O12V3,-1.96876501556994
Al1Ca1Fe1Na1O12Si4,-2.94906688674055
Hf1O3Pb1,-2.83032030252725
Al2Ba2Co1F14Mn1,-3.48839045683143
Ba2Cd1F14Fe2Mn1,-3.00783590008143
Be2O4Si1,-3.02079260907357
Ba2Ca1Cu1F14Ga2,-3.32560076689177
Ge1O4Zn2,-1.80905281002596
Ca1Cr1F7Sr1,-3.70743045464177
As3Ga1Na6,-0.523152268260989
Ga1Na6P3,-0.54852254869897
Al2Ba2Cu1F14Mn1,-3.46337505258143
O4Si1Zn2,-2.28662469740691
Al2Ca1O4,-3.29389963383548
K3Nb3O13Si2,-2.81844460602018
Ga1Sb1,-0.167087975
Ba1O4Sc2,-3.53412698621643
Ge3Na4O12Zr2,-2.47788751018817
Ba3In2O11Zn5,-2.03881828665078
Ba1Mn1Sb2,-0.452686898448276
Ge4O9Sr1,-2.15895474806491
Ba1Co1O4Si1,-2.51807792768344
Ge2K3Nb3O13,-2.46943995649637
Ba1Mg1O4Si1,-3.15637228728786
Na2O13Si4Ti2,-2.99497502931903
Ba2Cu5F14,-2.42274291680169
Ba1O4Si1Zn1,-2.78089328954976
Cu2Hg1Sn1Te4,-0.162674701893849
Ag1Au1Te2,0.138302785208335
As1Ga1,-0.352947975000001
Fe1O2Rb1,-1.61944615504294
Fe1O1,-1.5186563421465
Ni1O2Sr1,-1.9589379482988
Be2F5Rb1,-3.41796791070694
Cl2Mn1,-1.32470122167712
Hf1Se2,-1.346354685
Cd1F2,-2.45576919942074
In4O7Rb2,-1.75816417239625
Cr1K3Mn1O8,-1.69792834950009
Ca1F2,-4.21940666942074
Ag1As1Mg1,-0.222017740555556
K2S1,-1.16282027800445
Ca3O8V2,-2.91284966135379
Be2F8K2Pb1,-3.2006149371576
Ba3Nb2O8,-3.08714777284846
Ba3O8V2,-2.94719268443071
Cu3O8V2,-1.65225023789694
Cd2Mn3O8,-1.67275503720505
O8Sr3V2,-2.9499773267384
Ga4Ge1O8,-2.06093230169462
Ba1Ni2O8V2,-2.25263625465189
K4O7V2,-2.32974377936312
Ge2K2O7Pb2,-1.83034140701164
Fe2K6O5,-1.47412470047863
Be2F8K2Sr1,-3.55776384561914
Hf1S2,-1.7694135310089
Ge1Te1,-0.0877996241666654
Na2Te1,-1.01122733501221
Cl3Fe1,-0.967269901714342
K3N1,0.426367343664123
Cl3Sc1,-2.38749071046434
K2O1,-1.16374723195958
Cl2Fe1,-0.956567510412749
Na2S1,-1.24672851857222
K2Se1,-1.11070292
Se2Sn1,-0.374788702283734
K2Te1,-1.03371330444444
S2Zr1,-1.70274221267557
Cl2Sr1,-2.73418367041275
Fe2Mg1O4,-2.07985458850145
Al2Mg2Se5,-1.02594533425926
Cl6Rb2Ti1,-2.03671265305567
Ag1Ca1P1,-0.859500121042201
Ba1Na1P1,-0.894807775492751
Ba2F6Ni1,-3.37414871053185
Hf1Te2,-0.826892677222221
Na2O1,-1.42864745252735
Na1P1Sr1,-0.92445402438164
Cr1F3,-2.88322812559833
Fe1K1O2,-1.57998262754294
Cl6Rb2Sn1,-1.73592448117399
Cl2Cu1,-0.711210633746082
Cl6K2Mn1,-1.64233957750087
S2Ti1,-1.46304877727099
F2Sr1,-4.2059876560874
Ba1Ni1O5Y2,-2.99881624398127
Cl6Pb1Rb2,-1.5450487859683
Cl6Mn1Rb2,-1.66382509305643
Ag1As1Ca1,-0.8027823475
Cl6K2Ti1,-2.010257966389
Ba2F6Zn1,-3.58810476830963
As1Na1Sr1,-0.914962465283882
Ba1Cu1Fe1O5Y1,-2.38330236827722
Ge1Mg2O4,-2.58946205312119
Mg1Sc2Se4,-1.58322733845238
F3Mg1Na1,-3.51199437848233
Ba1Cl2,-2.80475097374608
Mg6Mn1O8,-2.75384337028279
Ba3Mg1Nb2O9,-3.1070445994717
Al1F7Mg1Na2,-3.58076151679888
Mg1O5Ti2,-3.20932444451662
In2Mg1O4,-2.13361911752596
F2Hg1,-1.65529646440949
Mg1N2Si1,-1.29209655308842
Ge1Mg1N2,-0.69540863746342
Al2Mg1O4,-3.22983205966881
F2Pb1,-2.65772386942074
Ga2Mg1O4,-2.3840365253831
Mg2O4Sn1,-2.51456503409994
Rb2Se1,-1.06579418666667
Mg1S4Sc2,-1.95524024574573
Cl4Mg1Na2,-2.06564161547807
Mg1Se4Y2,-1.71238191702381
Ba1Ca2Mg1O8Si2,-3.23722528115691
K6Mg1O4,-1.49666417388015
Rb2S1,-1.10369049800445
Mg1O6V2,-2.48013193055649
In2Mg1S4,-0.983431109317157
Al2Mg1S4,-1.36095772253144
Ag1Sc1Se2,-1.099498933125
Cu1O6V2,-1.97008065972542
Mn1O6V2,-2.31657202867262
Ca2Mg1O7Si2,-3.22993298960983
Mg1O7Si2Sr2,-3.2477459762765
Cl3K1Mg1,-2.11870043670481
Ca1Mg1O6Si2,-3.19096253244392
Ba2Ge2Mg1O7,-2.63590854210983
Ge1Mg1O3,-2.40391583986059
Ba2Mg1O7Si2,-3.20902337335983
Ge2Mg1O7Sr2,-2.65943421335983
Mg3O8V2,-2.69686382846917
F6Ge1K2,-2.97952690553185
Al2Cl8Mg1,-1.8766246921927
Cl2Ni1,-0.835216247079415
Mg2O4Si1,-3.07866739776405
Ge1Mg2S4,-1.15363489955525
N2Na1Nb1,-0.848091125384665
Mg1Mo1O4,-2.56132240419695
Cr1Ga1P2,-0.215758250729968
Mg1Se1,-1.26779763208333
O1Sn1,-1.53707803886498
Au2F8Mg1,-1.96469367474687
Na1S2Y1,-2.02708774846959
F6Rb2Si1,-3.37697803330963
Cr1Na1Se2,-0.834195885212912
F6Ge1Rb2,-2.98736988553185
Te2Zr1,-0.88034044222222
Ge1Mg1N4Sr3,-0.768193977560077
Mg2Mo3O8,-2.45579249233564
Fe1Na1O2,-1.80917220525585
F3Mg1Rb1,-3.49888139197866
N1Na3,0.092471370525387
Mg1Na2O4Si1,-2.70574054054812
Cd1S2Zn1,-0.855382869506678
Mg4Nb2O9,-2.9497124359717
Fe1Na1S2,-0.76756142096959
Hg1Se1,-0.182984242483134
Cu1O1,-0.805811471282877
In1Na1S2,-1.04801161221959
Mg3N2,-0.862217904887405
Mg3P2,-0.777500853583977
