composition current_knownFE ML_stability heuristic_stability
F5Si1Yb3 -2.31532613889 0.788656499839 1.10484356981
O4P1.33333333U1 -2.51060919555 0.989140383216 0.94998542183
O8Si1Pa5 -2.86138142268 0.720226096656 1.06087200798
F5S1.5V1 -2.10569810432 0.770122736202 0.98664362592
F9V3Yb1 -2.66580621154 0.701196170167 1.02836147771
O4P1.33333333Pa1 -2.42239057696 1.12423231083 0.7357286361
F5S1.5Mn1 -1.7639710325 1.06672149297 0.73807352937
O2Si1U2 -2.20235385436 0.747491820539 0.82310644606
F2Si1Pa1.5 -2.0989347963 0.726589461179 0.82902080681
O2Si1Np2 -2.35473370862 0.725947861536 0.80887315179
F2Si1Np1.5 -2.11158332407 0.687454352159 0.82317368758
O4S1Pu1.5 -2.6577592899 0.759977488254 0.76894633738
C1O8Pa5 -2.87464212803 0.714443016766 0.79261056588
O5S1Pa2 -2.63808601857 0.787290922452 0.745531685
O8P4Hf1 -2.096514625 0.973340458538 0.69890156627
O9Yb5Au1 -2.42443206245 0.775629255361 0.7445473164
C1F5Yb3 -2.22498994907 0.753076920785 0.74515379739
O9I1Yb5 -2.48933396661 0.738927024578 0.74763952075
O9Br1Yb5 -2.42443206245 0.672199807707 0.79159817937
F3.66666667P1Ta1.33333333 -2.09206802603 0.577410989769 0.94214124628
O9Se1Eu4 -2.16993065046 0.906900240316 0.68660791209
F2.5P1.5Mn1 -1.79841499067 0.612078988759 0.857982837
F7S2Tm1 -2.26936966296 0.745069382649 0.73143346529
O4P1.33333333Np1 -2.66764692268 0.851532179098 0.69314228857
O8Se1Yb4 -2.4013911562 0.774407598197 0.71623333285
O8Cl1Tm3 -2.55892679847 0.857210284123 0.68991735881
O3S1Pr1.33333333 -2.60591917853 0.752925370979 0.71432195075
O6V4Pa1 -2.43640212692 0.559167426222 0.9443910805
F7Ru2Tl1 -1.61030895 0.561618476392 0.93681298012
O2.5S1Ce1 -2.36543043251 0.889083337206 0.67348630313
F4.33333333I1.33333333Tl1 -1.43634235053 0.753549479183 0.70848377173
O9P5Ti1 -1.91184648611 0.810361079843 0.68876182653
O4P2Nb1 -2.02671330714 0.631753320027 0.7904332694
O2Si1Pu2 -2.73180842054 0.63276191925 0.7885411416
O8Fe6U1 -1.87087900943 0.77696790976 0.6924821959
N1O9Yb5 -2.47165357911 0.775979642822 0.69138188809
O8P4Pu1 -2.12122065737 1.0196962999 0.64756215667
O2.5S1Sm1 -2.46621780273 0.852841381471 0.67063373907
F6S2Cr1 -1.84265070525 0.736257437508 0.70542063516
F8S3Nb1 -1.86589721914 0.664386123277 0.74668663681
O3S1Tb1.33333333 -2.76098813567 0.710922696428 0.71010070212
O8Cl1Tb3 -2.49198832199 0.789338981129 0.67815332037
O8Cl1Dy3 -2.50837826196 0.772949041159 0.68054263859
O9S1Yb4 -2.38551298706 0.768736692089 0.68032024002
O2.5S1Gd1 -2.51655177767 0.813947297809 0.66657070228
O9P5Ac1 -1.98024458772 1.24396591091 0.62055312578
O8Cl1Pm3 -2.39981610157 0.877456037017 0.64833208912
F2Si1U1.5 -2.14820680556 0.58395160791 0.81609362223
F9S3Yb1 -1.92122864447 0.852136781347 0.64243135064
F7Ag6Tl1 -1.09864721429 0.722762290642 0.68016826296
O9P5Pm1 -2.01664989792 1.24399440071 0.61006812017
C1O6Ba8 -1.991900275 0.647602882947 0.7238368352
O3S1Dy1.33333333 -2.77737807561 0.669619610145 0.70614388656
F3S1Ta1 -1.9301686 0.866742717136 0.63750434198
O3.66666667S1U1.33333333 -2.67257862715 0.715743215331 0.6796701154
O9Te1Eu4 -2.25319832829 0.848649327166 0.63568593267
O3.25S1Ac1.5 -2.61120744691 0.733436959049 0.66573485295
O2.5S1Ho1 -2.561769604 0.757289580201 0.65178966249
O8Ba6Os1 -2.17172126667 0.829444611671 0.63054852868
O9I1Eu5 -2.4194126396 0.608596315826 0.73553444238
O2.5S1Er1 -2.57453833621 0.76034881858 0.64568509817
N1O7Tb3 -2.78292569217 0.634985324234 0.70943875433
F6S2Ti1 -2.14982683488 0.625223242153 0.71726810162
O8Cl1Nd3 -2.51650770523 0.764819597889 0.64110818147
O9Cl1Eu5 -2.39667779843 0.576656120804 0.76401069364
N1O7Dy3 -2.80080562668 0.617105389724 0.71782384346
O2.5S1Tm1 -2.59341619638 0.7581320175 0.63793374578
O3S1Np1 -2.56459342158 0.842744598292 0.61858733612
O9Rh1Yb5 -2.57985181245 0.692968902955 0.66210939861
O2.5S1Y1 -2.30353522274 0.663879216364 0.67758261748
O8Cl1Gd3 -2.52190693563 0.786864153505 0.62759742396
F8I5Yb1 -1.490279625 0.672065401239 0.67104992175
O9Eu5Tl1 -2.47206974793 0.703953110688 0.6540276442
N1O7Ho3 -2.81711048495 0.600800531454 0.72555057707
O8Cl1Ho3 -2.55564822463 0.725679078489 0.64136331784
N1O7Pr3 -2.61375955679 0.737521347632 0.63382210169
N1O7Nd3 -2.73778027824 0.613500626182 0.70330730856
N1O7Er3 -2.83278120177 0.585129814634 0.73288837479
N1O7Sm3 -2.69984236522 0.651438539202 0.67275965118
N1F9Ba3 -2.69141192308 0.733991472464 0.63215777902
O9P5Eu1 -1.93938101375 1.24450525484 0.57787878215
O8Cl1Er3 -2.53768920579 0.743638097329 0.62821925312
F2Cl1Cs1 -1.5381271875 1.06702040149 0.58300652412
O3.33333333S1.33333333Th1 -2.61762103579 0.809162191509 0.61020596288
O8Tc1Nd4 -3.10460653809 0.517387557858 0.85660083631
O2.5S1Pm1 -2.4519844658 0.861745907701 0.59781606539
C1O4Ac4 -2.68363544388 0.626239673066 0.68204598309
O7V5U1 -2.4308072581 0.47721791631 1.03550283495
H3F3Mo1 -1.29259864286 0.676935669523 0.64880972596
O2.5S1Lu1 -2.61004785952 0.74150035436 0.62275089588
C1F5Pm3 -2.83575215278 0.545281245047 0.77154729341
O9Br1Eu5 -2.35451073543 0.540075613324 0.78085052284
N1O7Ce3 -2.57614877449 0.747953399886 0.61726940861
N1O7Tm3 -2.85594948469 0.561961531714 0.74231085925
F9S3Lu1 -2.1197236688 0.601340754633 0.69493015517
O3.66666667S1Hf1.33333333 -2.62451158362 0.705072704012 0.62923251532
N1O7Gd3 -2.76161587992 0.593844072007 0.69960824882
F4S1.5Tl1 -1.4769951688 0.72668393412 0.62032764723
O8Cl1Lu3 -2.5776374195 0.703689883619 0.62850052831
F2Cl1Rb1 -1.54816472917 0.981669298448 0.57538816014
N1F9Tm2 -2.42907658333 0.841600589427 0.58893893186
F2Cl1K1 -1.57785260417 0.951981423448 0.57586725315
O9Cl1Yb5 -2.59011422203 0.643669381028 0.65193230885
F6Se2.5Tl1 -1.50519431003 0.721952286989 0.61304579316
O8Sr6Os1 -2.37889586667 0.688216859035 0.62157597772
N1O7Pm3 -2.68237417899 0.61535074292 0.6647697521
O8Cl1Sm3 -2.47818087008 0.803146433039 0.58626704594
O8Yb5Hg1 -2.64084965619 0.560607559007 0.71026130752
N1O7Lu3 -2.87636107128 0.533916916019 0.75248319341
O8Ni6U1 -1.85047055451 0.54735289031 0.72547056986
O8Tc1Pr4 -3.06919477561 0.552799320338 0.71427933472
N1F9Dy2 -2.52881386111 0.741863311647 0.5937388641
O8Fe6Pa1 -1.82985916143 0.674476670805 0.61450715602
O8Cl1La3 -2.46339003863 0.836873117044 0.5731349018
O8Cl1Pr3 -2.41790893631 0.863418366809 0.56874056733
O2.66666667S1.16666667Sc1 -2.1931219662 0.708652069227 0.59802518029
O8Pd1Eu4 -2.24305566925 0.694728755053 0.60223868126
C1F5Tm3 -2.75023665278 0.523487972511 0.74680551151
F8I6Ba1 -1.5041066 0.804269173475 0.57288652174
O9Yb5Ir1 -2.68012738745 0.601641930928 0.64956255564
F9V3Tm1 -2.88064388462 0.45669361486 0.99927326711
H3F3Te1 -1.29259864286 0.700715447121 0.5958568466
C1F3Mn1 -1.88718141681 0.566069487966 0.68110673311
F9I5Pb1 -1.32946726667 0.732891070493 0.58417182671
O4S2Nb1 -1.5850276746 0.855282536871 0.56030187282
O9Ni1Yb5 -2.71382031529 0.649102210449 0.61340618591
N1F9Lu2 -2.56292533333 0.642014479921 0.61583830395
C1O4Sm4 -2.90200455574 0.546776164476 0.69594401304
O8I1Pr3 -2.41804674476 0.738048953266 0.57963541544
F7Pd2Tl1 -1.3870981 0.638071584862 0.61557992842
O9Yb5Tl1 -2.54199107495 0.566878485973 0.66928144311
O8Cl1Ce3 -2.39027987024 0.864908495966 0.55575910571
B2F2Si1 -1.5830264875 0.574784505125 0.65769373585
F9S3Dy1 -2.10397991239 0.531295319129 0.70405470857
N1F9Eu3 -2.98409469231 0.532167915594 0.69451037109
N1F9Pm2 -2.55073458333 0.720035113374 0.57238455346
C1O4Tb4 -3.02627712082 0.522813396999 0.7082209113
F8Mn1Ru2 -1.79385487696 0.461176018961 0.88175436872
F4.5P1Yb2.5 -2.41843839062 0.46325197687 0.87082329608
C1O4Pr4 -2.79643326077 0.531568035092 0.68736914655
O9Cl1Pa3 -2.26961797601 0.687973581991 0.57647788033
O7V5Pu1 -2.53894031443 0.467693373987 0.84661770557
F7Br4Yb1 -1.38791811806 0.80852632136 0.54821566413
C1F4Np2 -2.60479207738 0.586589992401 0.62691441691
O9Eu5Au1 -2.48108550623 0.627186881555 0.59978750085
N1O7Y3 -2.50018647159 0.549006136763 0.66076789284
N1O9Eu5 -2.4017322521 0.543804867134 0.66583508551
F8S3Fe1 -1.55731015934 0.596222207423 0.61699200735
O8Fe6Pu1 -1.91374522562 0.716114016849 0.56448048704
O9Se1Ce3 -2.2887856962 0.541013660145 0.66687809523
F8Cu5Yb1 -1.65168132143 0.577009702307 0.62888909979
H1F7Ag6 -1.05121853571 0.766631849124 0.55174088278
F2Na1Cl1 -1.57832760417 0.951506423448 0.53076615601
O8V6Ce1 -2.45190440183 0.465576071119 0.83170781034
F9Ti3Tm1 -3.16096052564 0.42423217998 1.17944597043
C1O4Dy4 -3.04422267312 0.504867844699 0.71780433213
O1F8Pa2 -2.39074090909 0.556120582399 0.64312936434
F7Cl1Yb2 -2.445804535 0.507793931073 0.70925204096
F2Si1Pu1.5 -2.32146028472 0.476069440815 0.7872703381
O8Tc1Pu3 -2.84919680326 0.602616643233 0.60479531803
F8S3Te1 -1.56289022608 0.543859625919 0.65580983427
C1F2.66666667Ta1.33333333 -1.81905635389 0.603002951259 0.60238206157
O8Ni6Pa1 -1.81322269335 0.528704438219 0.67210634092
O8Cl1Ac3 -2.37824655174 0.853387743963 0.53344917028
F8Cu5Tl1 -1.39745708929 0.633108204018 0.5849663108
F5S1.5Eu1 -2.53606731296 0.547577233524 0.64272513463
O8Pd1Yb4 -2.30759843264 0.592590843782 0.6033878146
Li4F9Cl1 -1.87102258929 0.667930878177 0.56728570287
H1O8Yb5 -2.71279897316 0.521063345367 0.67475117124
O2Si1Ce2 -2.67052586839 0.460001170193 0.82458705915
O8Fe6Np1 -1.93341184068 0.596915160272 0.59939597625
F8S6Sn1 -1.33254757531 0.741100137431 0.54515385501
F8S2Pu1 -2.2364550545 0.551427270075 0.6343240898
F8Sr1I6 -1.51839743333 0.689887551641 0.55737546647
O8I1Pm3 -2.48094348178 0.631288491296 0.57789050018
O8Os1Pu3 -2.86490692826 0.527168329921 0.6587606232
F7Na1Ru2 -1.806677775 0.609160039837 0.58728904693
F4.33333333Br1.33333333Tl1 -1.31672093404 0.775021720673 0.53587861649
O9Eu5Bi1 -2.56578931252 0.496432981288 0.70743445862
O8Ba6Ir1 -2.28874393333 0.828634207034 0.52833358748
F2P1V1 -2.06323741667 0.464874747742 0.78748153897
O3.5P1Ta2 -2.25594445192 0.465050099927 0.78392940286
F9Se3Yb1 -1.90211815264 0.479441081859 0.74208176737
H1O8Pa3 -2.59314486463 0.93593803897 0.51651954869
O8Sn6U1 -1.73164422645 0.582733555298 0.59882257594
O8Ni6Ce1 -1.86800240166 0.643444050392 0.56752870768
O9Co1Eu5 -2.56147621718 0.605813139554 0.58467427768
O8I1Sm3 -2.49695598583 0.596634874038 0.58930441867
O9Eu5Ir1 -2.61020606043 0.542320070214 0.63239855447
C1O4Er4 -3.05840662816 0.490683889659 0.71084691275
O8Sn6Ce1 -1.73259286293 0.801091355801 0.52820096757
O2.5Si1Pr3 -2.63034214313 0.454730027962 0.81151203447
O8I1Nd3 -2.54502037797 0.548570481898 0.62325394122
C1O4La4 -2.84293146846 0.497623338582 0.69128829645
H1O8Np3 -3.03914096405 0.541918410558 0.62811628029
O8Yb4Pb1 -2.43599823072 0.632046583889 0.5662466083
F6V1.5Pm1 -3.14604270588 0.409447803955 1.23837376248
F7Mn1Pd2 -1.61631125216 0.470976259479 0.74801938648
F8I6Eu1 -1.5886594 0.681611183734 0.54682658984
O8Ni6Pu1 -1.89926980845 0.568180733353 0.59882876628
Li1O8Yb5 -2.80091845084 0.551818768468 0.61202132428
C1O4Nd4 -2.83535142093 0.492649874932 0.69038917744
N1F8Na5 -1.95526035714 0.985838319499 0.50527259002
O8I1Dy3 -2.58950564216 0.564836200686 0.59911116404
O8I1Ho3 -2.60445176225 0.554835702133 0.60680616982
N1O9Ac5 -3.0531443886 0.441226172414 0.84518787298
O8I1Tm3 -2.64005417868 0.550206669895 0.60932710011
H1.5F1.5Bi1 -1.22924140625 0.654823137161 0.54890022331
O8Nb6Pa1 -2.22165743196 0.44598802772 0.80915765451
F9Fe3Yb1 -2.25237678846 0.474390269111 0.72053354409
Li5N1F8 -2.11415821429 0.582760033577 0.58161603225
