composition delta_e
ReRu0 0.0
Re0.94444444Ru0.05555556 -0.0132097479235
Re0.88888889Ru0.11111111 -0.0264194958469
Re0.83333333Ru0.16666667 -0.039629244364800004
Re0.77777778Ru0.22222222 -0.0528389922883
Re0.72222222Ru0.27777778 -0.057242241397900004
Re0.66666667Ru0.33333333 -0.0528389922883
Re0.61111111Ru0.38888889 -0.0484357425842
Re0.55555556Ru0.44444444 -0.0440324934745
Re0.5Ru0.5 -0.039629244364800004
Re0.44444444Ru0.55555556 -0.0352259946607
Re0.38888889Ru0.61111111 -0.030822745551
Re0.33333333Ru0.66666667 -0.0264194958469
Re0.27777778Ru0.72222222 -0.0220162467372
Re0.22222222Ru0.77777778 -0.017612997627599998
Re0.16666667Ru0.83333333 -0.0132097479235
Re0.11111111Ru0.88888889 -0.00880649881378
Re0.05555556Ru0.94444444 -0.00440324934745
Re0Ru 0.0
RbRu0 0.0
Rb0.94444444Ru0.05555556 0.0
Rb0.88888889Ru0.11111111 0.0
Rb0.83333333Ru0.16666667 0.0
Rb0.77777778Ru0.22222222 0.0
Rb0.72222222Ru0.27777778 0.0
Rb0.66666667Ru0.33333333 0.0
Rb0.61111111Ru0.38888889 0.0
Rb0.55555556Ru0.44444444 0.0
Rb0.5Ru0.5 0.0
Rb0.44444444Ru0.55555556 0.0
Rb0.38888889Ru0.61111111 0.0
Rb0.33333333Ru0.66666667 0.0
Rb0.27777778Ru0.72222222 0.0
Rb0.22222222Ru0.77777778 0.0
Rb0.16666667Ru0.83333333 0.0
Rb0.11111111Ru0.88888889 0.0
Rb0.05555556Ru0.94444444 0.0
Rb0Ru 0.0
Ru0Rh 0.0
Ru0.05555556Rh0.94444444 0.0
Ru0.11111111Rh0.88888889 0.0
Ru0.16666667Rh0.83333333 0.0
Ru0.22222222Rh0.77777778 0.0
Ru0.27777778Rh0.72222222 0.0
Ru0.33333333Rh0.66666667 0.0
Ru0.38888889Rh0.61111111 0.0
Ru0.44444444Rh0.55555556 0.0
Ru0.5Rh0.5 0.0
Ru0.55555556Rh0.44444444 0.0
Ru0.61111111Rh0.38888889 0.0
Ru0.66666667Rh0.33333333 0.0
Ru0.72222222Rh0.27777778 0.0
Ru0.77777778Rh0.22222222 0.0
Ru0.83333333Rh0.16666667 0.0
Ru0.88888889Rh0.11111111 0.0
Ru0.94444444Rh0.05555556 0.0
RuRh0 0.0
BeRu0 0.0
Be0.94444444Ru0.05555556 -0.072739653717
Be0.88888889Ru0.11111111 -0.145479307434
Be0.83333333Ru0.16666667 -0.21821896442400002
Be0.77777778Ru0.22222222 -0.290958618141
Be0.72222222Ru0.27777778 -0.31520516828899997
Be0.66666667Ru0.33333333 -0.290958618141
Be0.61111111Ru0.38888889 -0.26671206472
Be0.55555556Ru0.44444444 -0.24246551457199997
Be0.5Ru0.5 -0.21821896442400002
Be0.44444444Ru0.55555556 -0.193972411003
Be0.38888889Ru0.61111111 -0.169725860855
Be0.33333333Ru0.66666667 -0.145479307434
Be0.27777778Ru0.72222222 -0.12123275728599998
Be0.22222222Ru0.77777778 -0.0969862071383
Be0.16666667Ru0.83333333 -0.072739653717
Be0.11111111Ru0.88888889 -0.0484931035691
Be0.05555556Ru0.94444444 -0.024246551457199998
Be0Ru 0.0
BaRu0 0.0
Ba0.94444444Ru0.05555556 0.0
Ba0.88888889Ru0.11111111 0.0
Ba0.83333333Ru0.16666667 0.0
Ba0.77777778Ru0.22222222 0.0
Ba0.72222222Ru0.27777778 0.0
Ba0.66666667Ru0.33333333 0.0
Ba0.61111111Ru0.38888889 0.0
Ba0.55555556Ru0.44444444 0.0
Ba0.5Ru0.5 0.0
Ba0.44444444Ru0.55555556 0.0
Ba0.38888889Ru0.61111111 0.0
Ba0.33333333Ru0.66666667 0.0
Ba0.27777778Ru0.72222222 0.0
Ba0.22222222Ru0.77777778 0.0
Ba0.16666667Ru0.83333333 0.0
Ba0.11111111Ru0.88888889 0.0
Ba0.05555556Ru0.94444444 0.0
Ba0Ru 0.0
BiRu0 0.0
Bi0.94444444Ru0.05555556 0.0
Bi0.88888889Ru0.11111111 0.0
Bi0.83333333Ru0.16666667 0.0
Bi0.77777778Ru0.22222222 0.0
Bi0.72222222Ru0.27777778 0.0
Bi0.66666667Ru0.33333333 0.0
Bi0.61111111Ru0.38888889 0.0
Bi0.55555556Ru0.44444444 0.0
Bi0.5Ru0.5 0.0
Bi0.44444444Ru0.55555556 0.0
Bi0.38888889Ru0.61111111 0.0
Bi0.33333333Ru0.66666667 0.0
Bi0.27777778Ru0.72222222 0.0
Bi0.22222222Ru0.77777778 0.0
Bi0.16666667Ru0.83333333 0.0
Bi0.11111111Ru0.88888889 0.0
Bi0.05555556Ru0.94444444 0.0
Bi0Ru 0.0
Ru0Br 0.0
Ru0.05555556Br0.94444444 -0.119736308927
Ru0.11111111Br0.88888889 -0.23947261785500001
Ru0.16666667Br0.83333333 -0.35920893217100003
Ru0.22222222Br0.77777778 -0.478945241098
Ru0.27777778Br0.72222222 -0.518857342278
Ru0.33333333Br0.66666667 -0.478945241098
Ru0.38888889Br0.61111111 -0.43903313453000004
Ru0.44444444Br0.55555556 -0.39912103335
Ru0.5Br0.5 -0.35920893217100003
Ru0.55555556Br0.44444444 -0.319296825603
Ru0.61111111Br0.38888889 -0.279384724423
Ru0.66666667Br0.33333333 -0.23947261785500001
Ru0.72222222Br0.27777778 -0.199560516675
Ru0.77777778Br0.22222222 -0.159648415495
Ru0.83333333Br0.16666667 -0.119736308927
Ru0.88888889Br0.11111111 -0.0798242077477
Ru0.94444444Br0.05555556 -0.039912103335000004
RuBr0 0.0
HRu0 0.0
H0.94444444Ru0.05555556 0.0
H0.88888889Ru0.11111111 0.0
H0.83333333Ru0.16666667 0.0
H0.77777778Ru0.22222222 0.0
H0.72222222Ru0.27777778 0.0
H0.66666667Ru0.33333333 0.0
H0.61111111Ru0.38888889 0.0
H0.55555556Ru0.44444444 0.0
H0.5Ru0.5 0.0
H0.44444444Ru0.55555556 0.0
H0.38888889Ru0.61111111 0.0
H0.33333333Ru0.66666667 0.0
H0.27777778Ru0.72222222 0.0
H0.22222222Ru0.77777778 0.0
H0.16666667Ru0.83333333 0.0
H0.11111111Ru0.88888889 0.0
H0.05555556Ru0.94444444 0.0
H0Ru 0.0
PRu0 0.0
P0.94444444Ru0.05555556 -0.178704599717
P0.88888889Ru0.11111111 -0.357409199434
P0.83333333Ru0.16666667 -0.536113792718
P0.77777778Ru0.22222222 -0.671519478724
P0.72222222Ru0.27777778 -0.727465404875
P0.66666667Ru0.33333333 -0.768899944307
P0.61111111Ru0.38888889 -0.739946931321
P0.55555556Ru0.44444444 -0.710993917466
P0.5Ru0.5 -0.68204090448
P0.44444444Ru0.55555556 -0.616589781026
P0.38888889Ru0.61111111 -0.551138655608
P0.33333333Ru0.66666667 -0.48568753215300003
P0.27777778Ru0.72222222 -0.40473960850900004
P0.22222222Ru0.77777778 -0.32379168972100003
P0.16666667Ru0.83333333 -0.242843766077
P0.11111111Ru0.88888889 -0.161895842432
