composition delta_e
P1Pt1Tm1 -1.41527499299
Li1N1Zn1 -0.337226195115
P1Pt1Tb1 -1.22450645454
Au1Si1Th1 -0.775884208333
As1Li1Mg1 -0.755549581389
Pd1Sb1Sc1 -1.04725307
As1Ba1Li1 -0.948120388333
As1Li1Zn1 -0.527295305
P1Pt1Y1 -1.44209021132
Hf1Pd1Sn1 -0.751731697284
Bi1Gd1Pd1 -0.9640359675
P1Pt1Sm1 -1.43355701215
Bi1I1Te1 -0.427603330254
Au1Dy1Pb1 -0.682196625556
Bi1Ni1Sc1 -0.652218226667
Bi1Ho1Pd1 -0.945721572778
Bi1Dy1Pd1 -0.952693633889
Au1Gd1Pb1 -0.6982075625
Bi1Pd1Yb1 -0.809699521667
Bi1Gd1Ni1 -0.702532014167
Bi1Lu1Ni1 -0.661199746667
Bi1Ho1Ni1 -0.693795459444
Au1Er1Pb1 -0.661436256667
Ni1Sb1Ti1 -0.517538456262
Bi1Ni1Tm1 -0.678297475
Au1Lu1Sn1 -0.846702067284
Au1Ho1Sn1 -0.884708333395
Ho1Ni1Sb1 -0.916168149444
Ba1Pt1Sb1 -0.946124321667
Pt1Sb1Sr1 -0.958352941667
Au1Ho1Pb1 -0.672307614444
Al1Ge1Li1 -0.298188351667
Au1Pb1Tb1 -0.471660128222
As1Ni1Sm1 -1.05009782083
Bi1Li1Mg1 -0.431466701389
H1Se1Y1 -1.44390183239
Au1Sc1Sn1 -0.794401990617
Au1Sn1Tm1 -0.867536435617
Gd1Ni1Sb1 -0.9086648475
Al1Si1Sr1 -0.398337368333
Au1Mg1Sn1 -0.478635298673
Ru1Sb1Ta1 -0.381052835
H1Ho1Se1 -1.44039096517
Al1Ba1Si1 -0.383148148333
Al1B1Be1 -0.0524589966667
Al1Ge1Sr1 -0.469336445
Bi1Ce1Pd1 -0.9425239375
Er1Pd1Sb1 -1.121698125
Bi1Mg1Ni1 -0.226555144722
Al1Ba1Ge1 -0.469612145
Ni1Sb1Tm1 -0.910249558333
Bi1Nd1Pd1 -0.959449183333
Pt1Sn1U1 -0.53152202395
Au1Gd1Sn1 -0.89709998145
Bi1Pd1Y1 -0.95683968
Ni1Sb1Sc1 -0.910821286667
Ni1Sb1Zn1 -0.240081968333
Au1Sm1Sn1 -0.890128324784
In1Li2Pd1 -0.505316435
Ni1Sb1Y1 -0.912829076667
C1Mg1N2 -0.727716279338
Al1Li2Pd1 -0.5361951875
Fe1Nb1Sb1 -0.350468735
Nb1Ru1Sb1 -0.420789198333
In1Li2Pt1 -0.58513271
C2Ho1Ni1 -0.340589322083
Al1Li2Pt1 -0.7088492725
Bi1Ce1Pt1 -0.9959515175
Bi1Ni1Y1 -0.698755976667
Au1Pb1Y1 -0.691646155
Ni1Sn1Th1 -0.727896362284
Bi1Dy1Ni1 -0.697987033889
Cr1Te2Tl1 -0.255337442917
Ag1Sc1Se2 -1.09949893313
Ce1Mg1Zn2 -0.324362274167
Fe2Sn1Ti1 -0.310827407659
N2Na1Nb1 -0.848091125385
C2Ni1Pr1 -0.235153355625
C2Nd1Ni1 -0.25619277
C2Dy1Ni1 -0.336445565417
Al1Cu1O2 -2.33172943586
Nd1O2Rb1 -2.77067115169
O2Rb1Sm1 -2.82116546481
C2Er1Ni1 -0.34408195125
Br1Eu2P1 -1.86001137909
Eu2I1P1 -1.66203595785
Gd1O2Rb1 -2.87809610481
Lu1Pd2Sn1 -0.925069697963
I1N1Sr2 -1.18961946444
Al1Cu2Ti1 -0.314860503447
Cr1Na1Se2 -0.834195885213
Na1Ni1O2 -1.31011120476
Al1Cu2Zr1 -0.35363364
Na1S2V1 -1.17761803972
Na1S2Y1 -2.02708774847
Au2Ce1In1 -0.673748881875
K1O2Pr1 -2.79000108356
Dy1O2Rb1 -2.91155087461
Ho1O2Rb1 -2.92551102627
Er1Pd2Sn1 -0.915774894213
Al1Cu1Pt2 -0.7068083
La1O2Rb1 -2.82850909294
Cr1Cu1O2 -1.87288765068
Cu1Li2Sn1 -0.354380991713
Al1Fe2Ti1 -0.473105260947
N2Na1Ta1 -1.03946308288
Ag1Fe1O2 -1.19788795192
In1Na1S2 -1.04801161222
Ag2Cd1Mg1 -0.181718566042
Al1Hf1Ni2 -0.64536214125
Gd1Na1S2 -2.01438363909
Cu2In1Lu1 -0.32087357875
Cr1Li1O2 -2.44932507025
Ag2In1Li1 -0.23130036125
Cu1Mn1O2 -1.54633147891
Er1O2Rb1 -2.94241997544
O2Rb1Tm1 -2.95735132044
Lu1O2Rb1 -2.97232985669
Cr1Na1O2 -2.33173970547
Au2Er1In1 -0.70983445
Cu2Er1In1 -0.334252435
Cu2Ga1Sc1 -0.3836672225
Ca1Hg1O2 -1.95030918168
Au2Gd1In1 -0.717655536875
Cu2Ho1In1 -0.335322558333
Ga1Mn1Ni2 -0.301937487198
Cu2In1Tm1 -0.3309334075
Cr1K1S2 -1.07265511576
Au2Ho1In1 -0.713419375833
Ba1Hg1O2 -1.80310736918
Hf1N2Sr1 -1.48735207892
C1Cl1Gd2 -1.18835129953
Cu1S2Sc1 -1.43290399076
Au2In1Lu1 -0.69011147375
In1Na1O2 -1.88506667315
Au2In1Pr1 -0.687116876875
Li1O2V1 -2.52194344426
Er1K1Te2 -1.38132734042
Al1Mn1Ni2 -0.410076275948
Au2In1Tb1 -0.553289198667
Au2Dy1In1 -0.715900084167
Au2In1Tm1 -0.7041176525
Mn1Rh2Sn1 -0.467093520161
Cr1N2W1 -0.393994220172
Ag2Li1Sn1 -0.263581892963
Au2In1Yb1 -0.7058872725
Dy1In1Pd2 -0.830943891667
C2Dy1Fe1 -0.270874885417
C1Cd1N2 -0.00790001704675
Br2O1V1 -1.599936114
Er1In1Pd2 -0.8492477225
Pd2Sn1Tb1 -0.728394540379
Pd2Sn1Tm1 -0.920774256713
Sb1Te2Tl1 -0.231367346667
Pd2Sn1Yb1 -0.850531889213
Ag1Lu1O2 -2.57672190106
Bi1Te2Tl1 -0.313670731667
Ag2Dy1In1 -0.376017705417
C2Er1Fe1 -0.28390965125
Nd1Se2Tl1 -1.3821485775
Gd1Se2Tl1 -1.39369716562
Cl1N1Sr2 -1.57068748524
Se2Tb1Tl1 -1.22826767992
Ag2In1Tb1 -0.216103914917
Dy1Se2Tl1 -1.39032986792
Ho1Se2Tl1 -1.38749497208
C2Fe1Gd1 -0.251103803125
Er1Se2Tl1 -1.38267563375
C2Fe1Ho1 -0.277618519583
Br2Cs1F1 -1.63375105099
Al1Ni2Zr1 -0.6063671
C2Fe1Lu1 -0.2899443225
Ho1Pd2Sn1 -0.909391995046
C2Fe1Sm1 -0.213214555625
Ca1Cu1O2 -2.02243212086
C2Fe1Tb1 -0.0977769074167
C2Ni1Tm1 -0.34656883625
Pr1Rb1S2 -1.96282942638
Nd1Rb1S2 -1.97047186826
Fe2Ga1Ti1 -0.384792484697
Rb1S2Sm1 -1.98324990138
Gd1Rb1S2 -1.99774366138
Rb1S2Tb1 -1.83544814067
Ga1Li2Pd1 -0.55206813125
Dy1Rb1S2 -2.00081467867
Ho1Rb1S2 -2.00025941784
In1Li2Rh1 -0.3893397975
Sc1Se2Tl1 -1.26105514
Rb1S2Tm1 -1.99615525201
K1Pr1Te2 -1.42117857729
Sc1Te2Tl1 -0.924988381667
Ce1Rb1Te2 -1.41726393604
Lu1Rb1S2 -1.98603043576
Nd1Rb1Te2 -1.41077526042
C2Gd1Ni1 -0.322234805625
Ag1Cr1O2 -1.73061092463
C2Ce1Ni1 -0.207462720625
Ag1Cr1Se2 -0.362695836875
Al1Ni2Ti1 -0.641176968447
Cr1Na1S2 -1.11093694472
Cr1Li1S2 -1.13941005701
In1S2Ta1 -1.01866398201
Au2In1Nd1 -0.69618217375
Cl2Cs1I1 -1.34249718342
Ag1Al1Li2 -0.255565689375
Li1Pd2Sn1 -0.687055416713
Ag1Au1Zn2 -0.157886619375
In1Ir1Li2 -0.2915503125
Cd1Li2Sn1 -0.352325924213
Fe1O2Sr1 -2.26755776754
F2H1Na1 -2.47008850032
Ag1Bi1Li2 -0.372667910625
F2H1Li1 -2.50944915761
Cd1Hg1O2 -0.863034931681
Ag1In1Li2 -0.305218021875
C2Lu1Ni1 -0.3418690525
Rb1Se2Tb1 -1.58014449117
Er1Na1S2 -2.02932132722
Li2Mg1Tl1 -0.202369346042
Cd1Pt2Zn1 -0.454431135
Ag1Li2Sn1 -0.401656028588
C2Ni1Tb1 -0.166331107417
Cd1Na2Pb1 -0.218748590426
Li1O2Rh1 -1.42627049544
Pb1Se2Ta1 -0.6638743875
Ag1Li2Pb1 -0.278279294375
Na1O2Tl1 -1.3165683969
Li1S2Ti1 -1.57856957045
